timestamps,TP9,AF7,AF8,TP10,Right AUX
1761113994.862,0.000,-19.531,-9.766,30.762,0.000
1761113994.866,0.000,-19.043,-14.160,14.160,0.000
1761113994.870,0.000,-15.625,-11.230,29.297,0.000
1761113994.874,0.000,-13.672,-9.766,51.270,0.000
1761113994.878,0.000,-10.254,-10.742,96.680,0.000
1761113994.882,0.000,-7.324,-13.184,113.281,0.000
1761113994.886,0.000,-14.648,-16.602,60.547,0.000
1761113994.890,0.000,-20.020,-20.508,23.438,0.000
1761113994.893,0.000,-14.648,-21.973,43.945,0.000
1761113994.897,0.000,-10.742,-19.043,81.055,0.000
1761113994.901,0.000,-5.371,-16.602,84.961,0.000
1761113994.905,0.000,-0.977,-11.230,77.148,0.000
1761113994.909,-2.930,0.977,-6.836,90.332,0.000
1761113994.913,0.488,0.488,-5.859,72.266,0.000
1761113994.917,24.414,-0.488,-6.836,98.145,0.000
1761113994.921,20.996,-1.465,-4.883,118.164,0.000
1761113994.925,-7.324,-4.395,-4.883,97.656,0.000
1761113994.929,0.000,0.000,-6.348,125.000,0.000
1761113994.933,-26.367,-3.906,-12.207,77.637,0.000
1761113994.936,-1.465,-7.812,-16.602,63.477,0.000
1761113994.940,33.691,0.488,-9.277,104.492,0.000
1761113994.944,-10.742,2.441,-7.812,83.496,0.000
1761113994.948,-22.949,3.418,-9.766,69.824,0.000
1761113994.952,-6.836,1.465,-10.742,82.031,0.000
1761113994.956,5.371,-1.953,-13.672,106.445,0.000
1761113994.960,24.902,-2.441,-12.695,107.910,0.000
1761113994.964,25.391,-0.488,-11.230,94.238,0.000
1761113994.968,-9.766,-3.418,-10.742,53.711,0.000
1761113994.972,-10.254,-7.812,-12.207,33.691,0.000
1761113994.975,40.527,0.000,-16.113,73.730,0.000
1761113994.979,49.805,1.953,-20.020,79.590,0.000
1761113994.983,22.949,0.977,-17.578,43.945,0.000
1761113994.987,-5.859,1.953,-15.137,13.672,0.000
1761113994.991,-2.930,-1.465,-15.625,21.484,0.000
1761113994.995,13.672,-2.441,-15.137,19.531,0.000
1761113994.999,33.203,-0.977,-10.742,31.250,0.000
1761113995.003,0.000,1.953,-6.348,56.152,0.000
1761113995.007,0.000,-0.977,-7.812,24.902,0.000
1761113995.011,0.000,-7.812,-12.695,8.789,0.000
1761113995.015,0.000,-4.883,-13.672,32.227,0.000
1761113995.018,0.000,-0.488,-9.277,62.012,0.000
1761113995.022,0.000,-1.465,-6.348,72.266,0.000
1761113995.026,0.000,-7.812,-11.230,-10.254,0.000
1761113995.030,0.000,-11.719,-14.648,-38.574,0.000
1761113995.034,0.000,-8.789,-11.719,32.715,0.000
1761113995.038,0.000,-6.348,-14.648,48.828,0.000
1761113995.042,0.000,-2.441,-13.672,44.922,0.000
1761113995.046,0.000,1.465,-8.789,6.348,0.000
1761113995.050,-40.527,-1.953,-15.625,-7.812,0.000
1761113995.054,-19.531,-8.301,-18.066,3.418,0.000
1761113995.058,17.578,-2.441,-15.625,33.691,0.000
1761113995.061,3.418,1.953,-12.695,33.203,0.000
