timestamps,TP9,AF7,AF8,TP10,Right AUX
1763445347.117,45.410,-5.371,-13.672,12.207,0.000
1763445347.121,52.246,-10.254,-22.949,0.977,0.000
1763445347.125,34.668,-10.742,-25.391,-0.977,0.000
1763445347.128,-25.879,-6.836,-14.648,20.020,0.000
1763445347.132,-59.082,-12.695,-6.836,14.160,0.000
1763445347.136,4.395,-9.766,-8.789,-5.859,0.000
1763445347.140,47.852,-6.836,-7.324,7.812,0.000
1763445347.144,25.391,-6.836,-7.812,8.301,0.000
1763445347.148,-27.832,-2.441,-13.184,10.254,0.000
1763445347.152,-16.113,-1.953,-13.672,20.508,0.000
1763445347.156,49.805,0.977,-11.719,14.648,0.000
1763445347.160,36.133,2.441,-10.254,8.789,0.000
1763445347.164,-33.203,-7.324,-6.836,8.789,0.000
1763445347.168,9.766,-8.301,-10.742,12.207,0.000
1763445347.171,77.637,-4.883,-9.766,3.418,0.000
1763445347.175,34.180,-9.766,-3.418,8.301,0.000
1763445347.179,-22.949,-9.766,-4.395,14.648,0.000
1763445347.183,14.648,-2.930,-5.371,10.742,0.000
1763445347.187,36.133,-0.977,-10.254,14.160,0.000
1763445347.191,-6.836,-2.441,-10.742,12.695,0.000
1763445347.195,11.230,-6.836,-10.742,5.371,0.000
1763445347.199,5.859,-18.555,-8.789,4.395,0.000
1763445347.203,-72.266,-19.531,-9.277,8.789,0.000
1763445347.207,5.859,-11.719,-21.484,16.113,0.000
1763445347.211,94.238,-12.207,-18.555,4.883,0.000
1763445347.214,79.102,-8.301,-6.348,4.883,0.000
1763445347.218,36.621,-5.859,6.348,10.742,0.000
1763445347.222,-17.090,-9.766,7.812,9.766,0.000
1763445347.226,-31.250,-12.207,-3.418,12.695,0.000
1763445347.230,-33.691,-13.672,-8.789,8.301,0.000
1763445347.234,-26.367,-12.207,-13.672,5.859,0.000
1763445347.238,-3.906,-6.836,-18.066,6.836,0.000
1763445347.242,-9.766,-11.230,-19.531,-7.812,0.000
1763445347.246,32.227,-11.230,-21.973,-17.090,0.000
1763445347.250,78.125,-3.906,-20.508,7.812,0.000
1763445347.253,3.906,-5.371,-21.973,13.184,0.000
1763445347.257,-24.414,-7.812,-23.438,-12.207,0.000
1763445347.261,22.461,-1.465,-12.695,-14.648,0.000
1763445347.265,15.625,-3.418,-8.789,2.441,0.000
1763445347.269,24.902,-5.859,-16.602,0.977,0.000
1763445347.273,29.785,-4.883,-11.719,5.371,0.000
1763445347.277,-7.324,-6.348,-5.371,11.230,0.000
1763445347.281,-31.738,-5.371,-13.184,-0.488,0.000
1763445347.285,-37.598,-13.672,-23.438,-11.230,0.000
1763445347.289,-10.742,-24.902,-20.020,-13.672,0.000
1763445347.293,38.574,-17.090,-7.324,-2.930,0.000
1763445347.296,11.230,-11.230,-5.859,-12.695,0.000
1763445347.300,-21.973,-13.184,-15.625,-5.859,0.000
1763445347.304,28.320,-9.766,-20.996,6.836,0.000
1763445347.308,-6.836,-15.625,-14.160,-7.812,0.000
1763445347.312,-62.012,-16.113,-6.348,-0.977,0.000
1763445347.316,-1.953,-10.742,-4.395,-5.859,0.000
1763445347.320,17.090,-13.184,-8.789,-16.113,0.000
1763445347.324,-21.484,-11.230,-20.996,-10.254,0.000
1763445347.328,34.668,-7.324,-19.531,-3.418,0.000
1763445347.332,57.129,-14.160,-11.719,-13.184,0.000
1763445347.336,2.930,-17.090,-11.230,-17.090,0.000
1763445347.339,-22.949,-15.625,-4.395,-9.277,0.000
1763445347.343,-24.414,-8.789,-7.812,-0.977,0.000
1763445347.347,9.277,-6.348,-20.020,2.930,0.000
1763445347.351,0.000,-9.766,-26.855,-0.977,0.000
1763445347.355,0.000,-17.578,-17.090,-10.742,0.000
1763445347.359,0.000,-18.066,-8.789,-12.207,0.000
1763445347.363,0.000,-13.184,-8.789,9.766,0.000
1763445347.367,0.000,-10.742,-11.230,10.742,0.000
1763445347.371,0.000,-14.648,-14.160,-2.930,0.000
1763445347.375,0.000,-17.578,-17.578,2.930,0.000
1763445347.378,0.000,-19.043,-22.949,-3.906,0.000
1763445347.382,0.000,-14.160,-19.531,-4.395,0.000
1763445347.386,0.000,-9.766,-16.113,-1.465,0.000
1763445347.390,0.000,-10.254,-13.672,-0.977,0.000
1763445347.394,0.000,-9.277,-13.184,3.906,0.000
1763445347.398,9.766,-14.160,-18.555,-6.348,0.000
1763445347.402,3.418,-9.277,-20.996,-9.277,0.000
1763445347.406,-12.695,-15.625,-13.672,2.441,0.000
1763445347.410,-11.719,-28.320,-8.301,16.113,0.000
1763445347.414,-39.551,-14.648,-8.301,16.113,0.000
1763445347.418,-34.668,-7.812,-14.160,5.371,0.000
1763445347.421,4.395,-19.043,-17.090,-7.324,0.000
1763445347.425,25.391,-13.672,-10.742,-24.414,0.000
1763445347.429,12.695,-14.160,-11.719,-16.113,0.000
1763445347.433,3.418,-17.090,-16.113,-4.395,0.000
1763445347.437,7.812,-12.207,-12.695,-0.977,0.000
1763445347.441,-12.695,-17.578,-14.160,8.789,0.000
1763445347.445,-46.387,-13.672,-10.742,10.742,0.000
1763445347.449,-23.438,-1.465,-5.859,-0.488,0.000
